@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
286,'2019/09/19 11:02:59:151',4,-8745078,-8876921,-9865362,-8357271,-8882065,-9275798,-9474464,-7632517,-6447984,-5723484,-9140869,-8549756,-5597036,-3624786,-2638404,-2307894,-5002070,-7038572,-9142665,-11051438,-8681603,-8814215,-7829115,-7828856,-6581356,-7632505,-10855342,-10265777,-14736619,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9344670,-9084842,-15461626,-13619931,-7565693,-7172216,-7963275,-10139073,-11192274,-10076362,-11256269,-14147306,-15526647,-12706795,-7434108,-7172475,-8556443,-7509926,-7379871,-4290934,-7444638,-13160410,-15461110,-10342866,-7631233,-7500929,-7239296,-7372681,-8097947,-6781053,-6645868,-5921366,-10341065,-10212051,-7959174,-7960199,-7697539,-7237755,-6448750,-5592666,-4604225,-1314317,-7902604,-10079952,-8155010,-7497848,-6972528,-6314853,-5525077,-4932423,-3221545,-919045,-6969417,-10392205,-7759220,-7233388,-6576226,-6115672,-5720655,-5062722,-1247497,-5653827,-8549495,-10326685,?
287,'2019/09/19 11:02:59:186',4,-8744822,-8876922,-9865362,-8357271,-8947601,-9275798,-9474464,-7632516,-6447984,-5723228,-9206404,-8549756,-5597035,-3624786,-2638404,-2307894,-5067606,-7038571,-9076870,-11051438,-8616067,-8748679,-7829115,-7763320,-6581357,-7632761,-10790062,-10200240,-14736618,-15066613,-7893630,-8750224,-9671321,-8291464,-7963012,-7962756,-9344671,-9084842,-15461626,-13619930,-7565437,-7172217,-7963275,-10139074,-11192274,-10076362,-11321805,-14147306,-15526646,-12772075,-7368572,-7172475,-8556443,-7509926,-7379871,-4290935,-7444638,-13160410,-15461110,-10342866,-7631233,-7566465,-7239295,-7372682,-8097691,-6781053,-6645867,-5921622,-10341065,-10212050,-7959174,-7894664,-7697794,-7237755,-6448750,-5592666,-4604225,-1314316,-7968396,-10079952,-8155010,-7432312,-6972272,-6314853,-5525333,-4867143,-3221544,-919045,-7034954,-10457741,-7758964,-7233389,-6641761,-6115672,-5720655,-5062721,-1247497,-5653828,-8549495,-10326685,?
288,'2019/09/19 11:02:59:217',4,-8744822,-8876922,-9865362,-8357271,-8947602,-9275797,-9474463,-7632516,-6447984,-5723228,-9140869,-8549756,-5531500,-3624786,-2638405,-2307895,-5067606,-6973036,-8945286,-11051438,-8616067,-8748679,-7829115,-7829112,-6581357,-7632761,-10789806,-10134447,-14736618,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9279391,-9084842,-15461626,-13619930,-7565437,-7172216,-7963531,-10139073,-11192273,-10076362,-11256269,-14147050,-15526647,-12772075,-7368572,-7172475,-8556443,-7509926,-7379871,-4290934,-7444638,-13160410,-15461110,-10343123,-7631233,-7566465,-7239040,-7372682,-8163226,-6781053,-6645867,-5921366,-10341065,-10212051,-7959174,-7960199,-7632003,-7237755,-6514030,-5592666,-4604225,-1314317,-7902860,-10079952,-8155010,-7432313,-6972528,-6314853,-5525077,-4932423,-3221544,-919045,-6969417,-10392205,-7758964,-7233389,-6641762,-6115672,-5720655,-5062721,-1247496,-5653827,-8549495,-10326685,?
289,'2019/09/19 11:02:59:249',4,-8744823,-8876921,-9865362,-8422808,-8947602,-9275797,-9474464,-7698052,-6448240,-5723228,-9206405,-8615292,-5597036,-3624786,-2638405,-2307894,-5001814,-6973036,-8813699,-11051438,-8616067,-8814215,-7829116,-7828856,-6515821,-7632761,-10658476,-10002862,-14670825,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962755,-9279391,-9085098,-15461626,-13619931,-7565437,-7172217,-7963275,-10139073,-11126737,-10076362,-11256269,-14147306,-15526903,-12772075,-7368573,-7106939,-8556443,-7509927,-7379871,-4290678,-7379102,-13160410,-15461110,-10408659,-7631234,-7500929,-7239040,-7372681,-8163227,-6781053,-6645867,-5921366,-10341064,-10212051,-7959174,-7960200,-7697539,-7237755,-6514030,-5592666,-4604481,-1314573,-7902603,-10145488,-8155010,-7432312,-6972528,-6314853,-5525077,-4932423,-3221801,-919045,-6903625,-10392204,-7693429,-7167852,-6641762,-6115672,-5720655,-5062722,-1247497,-5653827,-8549495,-10326684,?
290,'2019/09/19 11:02:59:281',4,-8744823,-8876921,-9865362,-8422808,-9013138,-9276054,-9474464,-7632516,-6447984,-5723229,-9206405,-8549756,-5597036,-3624786,-2638404,-2307895,-5001814,-6972779,-8747907,-10985901,-8616067,-8814215,-7829115,-7829112,-6581357,-7632761,-10592683,-10002860,-14605033,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9279391,-9085099,-15527162,-13619930,-7500157,-7172216,-7963275,-10139073,-11192273,-10076362,-11256269,-14147306,-15526903,-12706539,-7368573,-7106939,-8490907,-7509927,-7445407,-4290678,-7444638,-13160410,-15461110,-10343122,-7631233,-7500929,-7239040,-7372682,-8163226,-6781053,-6645867,-5855830,-10341064,-10212051,-7893894,-7960199,-7632003,-7237755,-6448750,-5592666,-4604225,-1314317,-7902860,-10079952,-8155011,-7432312,-6972272,-6314852,-5525077,-4932423,-3221545,-919045,-6969417,-10457741,-7759221,-7233389,-6641762,-6115672,-5720655,-5062721,-1247497,-5653827,-8549495,-10392221,?
291,'2019/09/19 11:02:59:315',4,-8744822,-8876921,-9865362,-8423064,-9013395,-9341590,-9540000,-7698053,-6513777,-5723485,-9206405,-8549756,-5597035,-3559250,-2572869,-2373431,-5001814,-6907243,-8682114,-10985645,-8616067,-8814215,-7829115,-7763320,-6515821,-7632505,-10592427,-10002604,-14539496,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9279391,-9085099,-15527163,-13554394,-7565437,-7172217,-7963275,-10139073,-11192273,-10076362,-11256269,-14147306,-15526903,-12706539,-7434108,-7172475,-8556699,-7509927,-7445408,-4290935,-7444638,-13160666,-15461110,-10343122,-7631233,-7566465,-7239039,-7372681,-8163482,-6781053,-6645867,-5921366,-10406601,-10212051,-7959174,-7960199,-7632003,-7237755,-6448750,-5527130,-4604225,-1314316,-7968397,-10079952,-8155010,-7497848,-6972528,-6314853,-5525077,-4932423,-3221544,-919045,-7034954,-10457741,-7693684,-7233388,-6576226,-6115672,-5720655,-5062721,-1247496,-5588291,-8549495,-10326685,?
292,'2019/09/19 11:02:59:348',4,-8744822,-8876921,-9865362,-8554136,-9144724,-9407383,-9605793,-7829638,-6645363,-5855071,-9140869,-8549756,-5531499,-3558994,-2638404,-2373687,-4936021,-6841193,-8550528,-10854058,-8616067,-8748679,-7763579,-7763576,-6450028,-7566968,-10526889,-10002347,-14539239,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9279391,-9019563,-15461626,-13619930,-7499901,-7172216,-7963275,-10139073,-11192017,-10076362,-11256269,-14147306,-15526902,-12772075,-7368572,-7172475,-8556443,-7509927,-7445664,-4290935,-7444638,-13160410,-15461110,-10408659,-7631233,-7566465,-7239039,-7372682,-8097691,-6781053,-6645867,-5855830,-10406601,-10212052,-7959174,-7960199,-7632003,-7237755,-6448494,-5592410,-4604481,-1314317,-7902603,-10145488,-8155010,-7432312,-6972528,-6314853,-5525077,-4932423,-3221545,-919045,-6903625,-10392205,-7693685,-7167852,-6576226,-6115672,-5720655,-5062721,-1181960,-5456448,-8549494,-10326684,?
293,'2019/09/19 11:02:59:381',4,-8744822,-8876921,-9865362,-8685723,-9276310,-9538712,-9737123,-7961224,-6842999,-5921122,-9206405,-8549756,-5597036,-3493457,-2572868,-2439480,-4804692,-6644070,-8418942,-10722215,-8681603,-8814215,-7763579,-7763576,-6384492,-7435382,-10461097,-10002347,-14473447,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9279135,-8954026,-15461626,-13619931,-7565437,-7172216,-7963274,-10139073,-11126737,-10076361,-11256269,-14147306,-15526647,-12772075,-7368572,-7106939,-8556443,-7575463,-7445664,-4356214,-7379102,-13160410,-15461110,-10408659,-7631233,-7500929,-7239040,-7372681,-8097691,-6781053,-6645867,-5855829,-10406344,-10212307,-7959174,-7960199,-7632003,-7237755,-6514286,-5592666,-4604481,-1314573,-7902347,-10145488,-8155010,-7432312,-6972528,-6314852,-5525333,-4866887,-3221801,-919045,-6903625,-10391948,-7758965,-7167853,-6641762,-6115672,-5720655,-5062721,-1181960,-5193533,-8483702,-10326684,?
294,'2019/09/19 11:02:59:415',4,-8745078,-8876921,-9931154,-8883101,-9539225,-9670298,-9868708,-8158347,-7106172,-6118501,-9140869,-8615293,-5597035,-3427664,-2572611,-2439738,-4673363,-6381156,-8222076,-10459300,-8681603,-8814215,-7763579,-7698040,-6253163,-7172467,-10460840,-10002347,-14473447,-15066612,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9279135,-8954027,-15461627,-13619674,-7565437,-7172216,-7963274,-10139073,-11126481,-10076362,-11256269,-14147306,-15526647,-12706538,-7368572,-7172475,-8490907,-7509927,-7445663,-4290678,-7379102,-13160666,-15461110,-10343123,-7631233,-7500929,-7239040,-7372682,-8163226,-6781053,-6645867,-5855829,-10406600,-10277587,-7959174,-7960200,-7697539,-7237755,-6514286,-5592411,-4604480,-1314317,-7902603,-10145488,-8155011,-7497848,-6972528,-6314853,-5525077,-4866887,-3221544,-919045,-6903625,-10392204,-7693684,-7167853,-6576226,-6115672,-5655119,-5062465,-1181960,-4930361,-8483702,-10326684,?
295,'2019/09/19 11:02:59:448',4,-8744823,-8876922,-9996691,-9146017,-9802141,-9867420,-10000294,-8421519,-7500674,-6316139,-9206405,-8549756,-5597036,-3296078,-2572611,-2571067,-4607570,-6183776,-8024696,-10196127,-8616067,-8814215,-7698043,-7632248,-6056298,-6975088,-10395303,-10002347,-14473447,-15000821,-7893630,-8749967,-9671321,-8356999,-7963012,-7962756,-9279134,-8954027,-15461627,-13554138,-7499901,-7172217,-7963275,-10139073,-11126481,-10076361,-11256269,-14147307,-15526903,-12706538,-7434108,-7172475,-8556443,-7509927,-7445664,-4290935,-7444639,-13226203,-15461110,-10408403,-7631233,-7566465,-7239039,-7372682,-8097691,-6781053,-6645867,-5855830,-10406601,-10277587,-7959174,-7960199,-7632003,-7237755,-6448750,-5592410,-4604225,-1314316,-7968396,-10145488,-8155010,-7497848,-6972272,-6314853,-5525077,-4866887,-3156008,-919045,-6969418,-10392205,-7693685,-7167852,-6576225,-6115672,-5720655,-5062465,-1116168,-4601652,-8483188,-10326428,?
296,'2019/09/19 11:02:59:481',4,-8744823,-8876922,-9996691,-9146017,-9802141,-9867420,-10000294,-8421519,-7500674,-6316139,-9206405,-8549756,-5597036,-3296078,-2572611,-2571067,-4607570,-6183776,-8024696,-10196127,-8616067,-8814215,-7698043,-7632248,-6056298,-6975088,-10395303,-10002347,-14473447,-15000821,-7893630,-8749967,-9671321,-8356999,-7963012,-7962756,-9279134,-8954027,-15461627,-13554138,-7499901,-7172217,-7963275,-10139073,-11126481,-10076361,-11256269,-14147307,-15526903,-12706538,-7434108,-7172475,-8556443,-7509927,-7445664,-4290935,-7444639,-13226203,-15461110,-10408403,-7631233,-7566465,-7239039,-7372682,-8097691,-6781053,-6645867,-5855830,-10406601,-10277587,-7959174,-7960199,-7632003,-7237755,-6448750,-5592410,-4604225,-1314316,-7968396,-10145488,-8155010,-7497848,-6972272,-6314853,-5525077,-4866887,-3156008,-919045,-6969418,-10392205,-7693685,-7167852,-6576225,-6115672,-5720655,-5062465,-1116168,-4601652,-8483188,-10326428,?
297,'2019/09/19 11:02:59:514',4,-8744822,-8876922,-10062227,-9540261,-10130593,-10064543,-10197416,-8684434,-7830153,-6579312,-9206405,-8549756,-5662572,-3164749,-2637890,-2637118,-4476242,-5920862,-7761781,-9932698,-8616067,-8748679,-7566714,-7566711,-5924969,-6712172,-10395046,-10002347,-14473447,-15066357,-7893630,-8750223,-9605785,-8356999,-7963012,-7962755,-9278878,-8953770,-15396091,-13619674,-7499901,-7106680,-7963275,-10139073,-11126481,-10076362,-11256269,-14147050,-15526647,-12706538,-7368572,-7172475,-8556700,-7509927,-7445664,-4356471,-7444639,-13226202,-15461110,-10408659,-7631234,-7566464,-7239295,-7372682,-8097690,-6781053,-6645867,-5855829,-10406601,-10277588,-7959174,-7960199,-7632003,-7172218,-6514030,-5526874,-4604225,-1314316,-7902604,-10145489,-8089474,-7432312,-6972272,-6314852,-5525077,-4932423,-3156008,-919045,-6969161,-10457485,-7693429,-7167852,-6576226,-6115672,-5655119,-5062465,-1116168,-4272687,-8351859,-10326428,?
298,'2019/09/19 11:02:59:548',4,-8744822,-8876921,-10062227,-9868969,-10393763,-10261664,-10394282,-8881814,-8290192,-6842741,-9206404,-8615292,-5728365,-3164492,-2637633,-2834241,-4345169,-5723740,-7564402,-9603989,-8616067,-8748679,-7435642,-7435383,-5728105,-6383464,-10263461,-10068139,-14407655,-15066613,-7893630,-8749967,-9671321,-8357000,-7963012,-7962756,-9278877,-8953769,-15330298,-13620187,-7499901,-7106681,-7963275,-10139073,-11192017,-10076362,-11256268,-14147307,-15526647,-12772331,-7368573,-7172475,-8556444,-7575463,-7445664,-4356471,-7444639,-13160410,-15461110,-10474452,-7631233,-7500929,-7239295,-7372682,-8097690,-6781054,-6645867,-5855573,-10406344,-10277845,-7959174,-7960200,-7632003,-7237754,-6514030,-5592410,-4604225,-1314573,-7836554,-10145489,-8155010,-7432312,-6972528,-6314852,-5525077,-4932423,-3221545,-919045,-6837832,-10326412,-7693685,-7167853,-6576225,-6115672,-5720654,-5062465,-1116168,-3878187,-8220272,-10326171,?
299,'2019/09/19 11:02:59:581',4,-8745078,-8876922,-10128019,-10394800,-10788008,-10524323,-10657196,-9276314,-8948123,-7303551,-9140869,-8615293,-5990766,-3230286,-2572354,-3163464,-4345427,-5460824,-7301487,-9209230,-8616067,-8683143,-7107704,-7041396,-5531239,-5791840,-10197924,-10068396,-14473703,-15066357,-7893630,-8749967,-9671321,-8291464,-7963012,-7962755,-9213083,-9084842,-15395834,-13619930,-7499901,-7172216,-7963275,-10139074,-11192273,-10076362,-11321805,-14212842,-15526903,-12706538,-7368573,-7106939,-8556700,-7575720,-7511201,-4422264,-7510432,-13226203,-15461110,-10474196,-7631233,-7500929,-7239295,-7372682,-8097690,-6781053,-6645867,-5921622,-10472137,-10343124,-7959174,-7960199,-7632003,-7237755,-6514030,-5526874,-4604224,-1314316,-7968396,-10145489,-8089475,-7432312,-6972272,-6314852,-5525077,-4866887,-3156008,-919045,-6969161,-10392205,-7693429,-7233389,-6576226,-6115671,-5655119,-4996928,-1116167,-3089185,-8022635,-10391707,?
300,'2019/09/19 11:02:59:615',4,-8744822,-8942457,-10128019,-10526386,-10919081,-10524579,-10722989,-9407644,-9145246,-7500673,-9206404,-8615293,-6056302,-3295822,-2638148,-3295050,-4279892,-5329752,-7301486,-9077900,-8616067,-8683143,-7041912,-6910067,-5334117,-5594717,-10197668,-10002861,-14473703,-15066356,-7893630,-8750223,-9671321,-8357000,-7963012,-7962755,-9147290,-9150378,-15330298,-13685467,-7499901,-7172217,-7963275,-10204610,-11192273,-10076106,-11256269,-14147307,-15526903,-12772075,-7368572,-7172475,-8556700,-7510184,-7511457,-4422521,-7510688,-13226203,-15461110,-10539988,-7631233,-7566465,-7239040,-7372682,-8097690,-6715517,-6645867,-5921622,-10472137,-10343381,-7959174,-7960199,-7632003,-7237755,-6448494,-5526874,-4604224,-1314316,-7902604,-10211025,-8089474,-7432312,-6972272,-6314597,-5525077,-4866887,-3156008,-919045,-6903625,-10392204,-7693429,-7167852,-6576225,-6050135,-5654862,-4996928,-1116167,-2497306,-7824999,-10391450,?
301,'2019/09/19 11:02:59:647',4,-8745078,-8876921,-10127763,-10657715,-10919336,-10524579,-10788781,-9407644,-9145503,-7566210,-9206405,-8615292,-6122095,-3296079,-2703940,-3360843,-4280149,-5329496,-7301487,-9077644,-8681603,-8683143,-6976375,-6778738,-5202788,-5528924,-10132387,-9937582,-14473447,-15066357,-7893630,-8749967,-9671321,-8357000,-7963011,-7962756,-9081497,-9281193,-15330298,-13685724,-7565437,-7172216,-7963274,-10139073,-11192017,-10076105,-11256012,-14147307,-15526903,-12772331,-7368573,-7172475,-8556700,-7575720,-7511457,-4488057,-7510688,-13160667,-15461110,-10605525,-7631234,-7500929,-7239039,-7372425,-8097690,-6715517,-6645867,-5921622,-10537673,-10408918,-7959174,-7960199,-7632003,-7237755,-6448750,-5592410,-4604224,-1314317,-7836811,-10211281,-8155011,-7497848,-6972272,-6314852,-5525077,-4866887,-3221544,-919045,-6837832,-10391948,-7693685,-7167852,-6576225,-6049879,-5654862,-4996928,-1116167,-1905682,-7561826,-10325912,?
302,'2019/09/19 11:02:59:679',4,-8744823,-8876922,-10127763,-10592178,-10919081,-10589859,-10788782,-9407644,-9079709,-7435137,-9140868,-8615293,-6187631,-3296079,-2703940,-3295307,-4280148,-5395288,-7367537,-9143437,-8616067,-8748679,-6910840,-6778738,-5202788,-5528924,-10198181,-9872046,-14408167,-15066613,-7893630,-8749967,-9671321,-8291464,-7897475,-7962755,-9015447,-9346985,-15395833,-13685724,-7500157,-7172217,-7897738,-10139073,-11192017,-10076105,-11256012,-14212843,-15526903,-12837868,-7368573,-7172475,-8556700,-7575720,-7511714,-4488057,-7510689,-13226203,-15526646,-10671318,-7631233,-7500929,-7239295,-7306889,-8032154,-6715260,-6645867,-5987158,-10537673,-10474710,-7893638,-7960199,-7632002,-7237755,-6448494,-5526874,-4604224,-1314317,-7836810,-10276817,-8089474,-7432312,-6972272,-6314852,-5525077,-4866886,-3221544,-919045,-6837832,-10326413,-7693429,-7167852,-6576225,-6049879,-5654862,-4996928,-1116167,-1510924,-7429983,-10391193,?
303,'2019/09/19 11:02:59:713',4,-8744822,-8876921,-10127763,-10460849,-10853544,-10524322,-10722989,-9276315,-8882586,-7303294,-9206404,-8615292,-6122095,-3296078,-2637891,-3229257,-4345428,-5461082,-7564659,-9275024,-8681603,-8683143,-6976376,-6910067,-5334373,-5660510,-10329768,-9740974,-14473703,-15131893,-7893630,-8749967,-9671321,-8291464,-7897219,-7897219,-8949654,-9478058,-15461370,-13685724,-7500157,-7172217,-7963274,-10138817,-11126481,-10010568,-11256012,-14147307,-15526903,-12772075,-7368572,-7106939,-8556700,-7575720,-7511458,-4553850,-7510688,-13226203,-15526646,-10671062,-7631233,-7500929,-7239039,-7306889,-8031897,-6715260,-6645867,-5987415,-10603210,-10474710,-7893638,-7960199,-7632003,-7237754,-6448494,-5592410,-4604224,-1314317,-7902603,-10276818,-8155010,-7432312,-6972272,-6314852,-5525077,-4866886,-3156008,-919045,-6903369,-10392205,-7693429,-7167853,-6576225,-6049879,-5654862,-4996672,-1116167,-1181960,-7363933,-10391192,?
304,'2019/09/19 11:02:59:747',4,-8744822,-8876921,-10128019,-10263471,-10721959,-10393250,-10591659,-9144729,-8619158,-7105914,-9206404,-8615292,-5990766,-3230286,-2572097,-3031878,-4279891,-5592411,-7827831,-9472403,-8616067,-8683142,-7107449,-7041396,-5531495,-5923426,-10526891,-9609646,-14407911,-15066613,-7893630,-8750223,-9671321,-8291464,-7897219,-7897219,-8883861,-9674922,-15461626,-13751260,-7565437,-7172217,-7963275,-10138817,-11126481,-10010312,-11256012,-14147306,-15526903,-12772076,-7368572,-7172475,-8622493,-7575977,-7511713,-4488314,-7444896,-13160667,-15461110,-10671319,-7631233,-7500929,-7239040,-7306889,-7966360,-6649723,-6580331,-5987415,-10603210,-10540247,-7893638,-7894663,-7632003,-7237755,-6448493,-5526874,-4538688,-1314316,-7902604,-10342355,-8089474,-7432312,-6972272,-6249060,-5525076,-4866886,-3156008,-919045,-6903625,-10392205,-7693684,-7167852,-6576225,-6049879,-5654862,-4996671,-1115911,-1181960,-7298397,-10391192,?
305,'2019/09/19 11:02:59:780',4,-8810615,-8942715,-10128277,-10066348,-10525093,-10327458,-10460331,-9013399,-8356241,-6974071,-9272197,-8681086,-5925230,-3230542,-2637890,-2966084,-4410964,-5855326,-8156540,-9735577,-8681860,-8814472,-7304570,-7304310,-5728618,-6252391,-10658734,-9544367,-14407911,-15132150,-7959679,-8815760,-9737114,-8422793,-7963012,-8028548,-8883860,-9871787,-15461626,-13751517,-7631486,-7238010,-8029067,-10204609,-11192273,-10010569,-11256012,-14212843,-15526903,-12903405,-7499901,-7238268,-8688286,-7641770,-7577507,-4553851,-7445152,-13160667,-15526646,-10802648,-7697027,-7632514,-7305088,-7307146,-8032153,-6715260,-6711661,-6118744,-10603210,-10671577,-8024968,-8025993,-7698052,-7303548,-6514287,-5592667,-4670017,-1314573,-7968140,-10408148,-8220804,-7498105,-7038321,-6380645,-5525334,-4932680,-3221801,-919045,-6903625,-10457741,-7759478,-7233646,-6642018,-6115672,-5720655,-5062465,-1116167,-1181960,-7298397,-10456985,?
306,'2019/09/19 11:02:59:814',4,-8810871,-8942715,-10128276,-9737640,-10262178,-10130592,-10329002,-8816020,-7961484,-6710899,-9272198,-8615550,-5794158,-3230542,-2703683,-2834497,-4476756,-6052704,-8419968,-9998749,-8681860,-8814472,-7501435,-7501175,-5859690,-6581099,-10724783,-9413038,-14407911,-15132150,-7959423,-8815760,-9737114,-8422792,-7963012,-8028548,-8818067,-10003116,-15527162,-13751517,-7631230,-7238010,-7963531,-10138816,-11192273,-10010568,-11190476,-14147307,-15526903,-12903405,-7434366,-7238524,-8688286,-7707306,-7577507,-4553850,-7379616,-13094874,-15526646,-10868440,-7697027,-7566978,-7305089,-7306889,-7966361,-6649724,-6711661,-6052952,-10668746,-10671577,-8025223,-8025993,-7698052,-7303548,-6514287,-5592923,-4670018,-1380109,-7968139,-10408148,-8155268,-7498105,-7038321,-6380645,-5590870,-4932680,-3221801,-919045,-6903625,-10392205,-7759478,-7233646,-6642018,-6115672,-5720655,-5062721,-1116168,-1181960,-7298140,-10391449,?
307,'2019/09/19 11:02:59:847',4,-8810871,-8942714,-10062483,-9343139,-9933727,-9933470,-10131880,-8553105,-7566981,-6447726,-9272198,-8615549,-5728365,-3296335,-2703940,-2702911,-4673621,-6250084,-8748677,-10261921,-8681860,-8814472,-7632764,-7632504,-6056555,-6909808,-10856370,-9216174,-14408167,-15132406,-7959679,-8815760,-9737114,-8422793,-7963012,-8028548,-8752018,-10199982,-15527163,-13751260,-7565950,-7238010,-7963275,-10138816,-11126481,-10010568,-11256012,-14147307,-15526903,-12903404,-7434365,-7172732,-8688286,-7707306,-7577507,-4553851,-7445152,-13160666,-15461110,-10802648,-7697027,-7566722,-7305089,-7306889,-7966361,-6649724,-6646124,-6053208,-10603211,-10671577,-8025223,-8025992,-7697796,-7303548,-6514286,-5592667,-4670017,-1314317,-8033933,-10473684,-8220803,-7498105,-7038065,-6380389,-5590870,-4932680,-3221544,-919045,-6969418,-10457998,-7759478,-7233645,-6642018,-6115672,-5720655,-5062464,-1116167,-1181960,-7363934,-10456985,?
308,'2019/09/19 11:02:59:880',4,-8547700,-8745335,-9865105,-8751516,-9473432,-9604249,-9802915,-8092811,-7106173,-6118759,-9009283,-8352634,-5399914,-3164750,-2506818,-2374202,-4607827,-6315619,-8880006,-10327971,-8484481,-8617093,-7500921,-7566454,-6121577,-7041137,-10790577,-8953259,-14342118,-15066614,-7762044,-8618637,-9539736,-8159878,-7765632,-7765633,-8488845,-10199467,-15461370,-13685468,-7434106,-7040631,-7766152,-9941694,-10995151,-9813190,-11058890,-14081514,-15526647,-12772332,-7236986,-7040889,-8556700,-7510184,-7445921,-4356727,-7182237,-13029080,-15460854,-10736855,-7499647,-7434879,-7107453,-7043974,-7703446,-6452344,-6514281,-5855829,-10471624,-10605784,-7827844,-7828613,-7500417,-7106169,-6317163,-5395288,-4472638,-1248780,-7771017,-10276819,-7957888,-7300726,-6840942,-6183266,-5393490,-4735300,-3089958,-853253,-6771782,-10260619,-7562099,-7036267,-6444639,-5983829,-5523275,-4865085,-1050375,-1116167,-7101018,-10259606,?
309,'2019/09/19 11:02:59:917',4,-8547700,-8745335,-9865105,-8751516,-9473432,-9604249,-9802915,-8092811,-7106173,-6118759,-9009283,-8352634,-5399914,-3164750,-2506818,-2374202,-4607827,-6315619,-8880006,-10327971,-8484481,-8617093,-7500921,-7566454,-6121577,-7041137,-10790577,-8953259,-14342118,-15066614,-7762044,-8618637,-9539736,-8159878,-7765632,-7765633,-8488845,-10199467,-15461370,-13685468,-7434106,-7040631,-7766152,-9941694,-10995151,-9813190,-11058890,-14081514,-15526647,-12772332,-7236986,-7040889,-8556700,-7510184,-7445921,-4356727,-7182237,-13029080,-15460854,-10736855,-7499647,-7434879,-7107453,-7043974,-7703446,-6452344,-6514281,-5855829,-10471624,-10605784,-7827844,-7828613,-7500417,-7106169,-6317163,-5395288,-4472638,-1248780,-7771017,-10276819,-7957888,-7300726,-6840942,-6183266,-5393490,-4735300,-3089958,-853253,-6771782,-10260619,-7562099,-7036267,-6444639,-5983829,-5523275,-4865085,-1050375,-1116167,-7101018,-10259606,?
