@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
143,'2019/09/19 11:01:48:803',2,-8547696,-8613747,-8354689,-8554390,-9472917,-9670297,-8553616,-6777461,-5658206,-5196880,-8943230,-6187115,-3953234,-2902087,-1782576,-3096894,-6908783,-8881034,-11247782,-12169659,-8418428,-8419968,-7631733,-6909550,-6317667,-8026748,-11250871,-8691368,-14672369,-14344429,-7630455,-8486792,-9408147,-8159618,-7699580,-7699580,-8159363,-11250610,-15658491,-12895946,-7302518,-6974834,-7765893,-10203837,-11257294,-10009025,-11583691,-14606828,-15592953,-11917275,-7170934,-7040629,-8819871,-7969706,-9022899,-6197904,-9416374,-14541035,-15133429,-10473165,-7433595,-7303290,-7041657,-7306886,-8097687,-6780794,-6514021,-6447451,-11522771,-10801105,-7761791,-7762561,-7500156,-7040116,-6316647,-5395028,-4341050,-1116938,-8821135,-11523547,-7957371,-7234929,-6775145,-6183007,-7498866,-5392971,-2958627,-1313803,-7232331,-10390918,-7496045,-6970214,-8023156,-12826563,-14078948,-9868446,-4076853,-9930632,-11443876,-12431032,?
144,'2019/09/19 11:01:48:836',2,-8547696,-8613747,-8354689,-8554390,-9472917,-9670297,-8553616,-6777461,-5658206,-5196880,-8943230,-6187115,-3953234,-2902087,-1782576,-3096894,-6908783,-8881034,-11247782,-12169659,-8418428,-8419968,-7631733,-6909550,-6317667,-8026748,-11250871,-8691368,-14672369,-14344429,-7630455,-8486792,-9408147,-8159618,-7699580,-7699580,-8159363,-11250610,-15658491,-12895946,-7302518,-6974834,-7765893,-10203837,-11257294,-10009025,-11583691,-14606828,-15592953,-11917275,-7170934,-7040629,-8819871,-7969706,-9022899,-6197904,-9416374,-14541035,-15133429,-10473165,-7433595,-7303290,-7041657,-7306886,-8097687,-6780794,-6514021,-6447451,-11522771,-10801105,-7761791,-7762561,-7500156,-7040116,-6316647,-5395028,-4341050,-1116938,-8821135,-11523547,-7957371,-7234929,-6775145,-6183007,-7498866,-5392971,-2958627,-1313803,-7232331,-10390918,-7496045,-6970214,-8023156,-12826563,-14078948,-9868446,-4076853,-9930632,-11443876,-12431032,?
145,'2019/09/19 11:01:48:869',2,-8612977,-8613747,-8551554,-8751770,-9604503,-9736090,-8684946,-6843254,-5658463,-5196881,-8943230,-6121322,-3887698,-2836294,-1848369,-3096895,-6777197,-8749448,-11181732,-12103867,-8418172,-8354433,-7566197,-6778478,-6186082,-7960954,-11250871,-8691368,-14606833,-14344685,-7695991,-8486792,-9473683,-8159618,-7699580,-7699580,-8159362,-11250610,-15658491,-12895947,-7302518,-6974834,-7765893,-10203837,-11191758,-10009025,-11583691,-14541292,-15592954,-11917275,-7170933,-7040629,-8819871,-7969706,-9022644,-6198160,-9416630,-14541034,-15133429,-10473165,-7433594,-7303290,-7041657,-7306886,-8163223,-6780793,-6514022,-6381915,-11522771,-10866641,-7761791,-7762560,-7434620,-7040116,-6316647,-5329492,-4341050,-1117194,-8755599,-11523548,-7891835,-7234929,-6840426,-6183007,-7564660,-5458765,-3024164,-1379339,-7232331,-10390918,-7496045,-6970213,-8023413,-12892101,-14078693,-10000289,-4208440,-9930632,-11443876,-12496568,?
146,'2019/09/19 11:01:48:903',2,-8547441,-8613747,-8617091,-8817307,-9604759,-9736090,-8619409,-6842997,-5592670,-5196879,-8943230,-6055786,-3887441,-2836294,-1782576,-3096895,-6908526,-8815241,-11181990,-12169404,-8418428,-8419968,-7566197,-6712941,-6120546,-7960954,-11250870,-8625832,-14672369,-14344429,-7630455,-8486791,-9408147,-8159618,-7699581,-7699580,-8159363,-11250610,-15658491,-12895947,-7302518,-6974578,-7765637,-10203836,-11191502,-10008768,-11583690,-14606828,-15592954,-11917275,-7170933,-7040628,-8885408,-7969706,-9022900,-6263696,-9416630,-14541035,-15133429,-10473165,-7433595,-7303290,-7041657,-7306886,-8097687,-6780793,-6514021,-6447451,-11588307,-10866641,-7761791,-7762560,-7499900,-7040116,-6251111,-5329492,-4341050,-1051402,-8821136,-11523547,-7957371,-7234929,-6840426,-6183007,-7696246,-5656144,-2958627,-1379596,-7232332,-10391174,-7495790,-6970213,-8088950,-12957892,-14078693,-10263204,-4471612,-9996425,-11509669,-12496313,?
147,'2019/09/19 11:01:48:936',2,-8547696,-8613747,-8420226,-8620184,-9473172,-9604761,-8488080,-6711411,-5526621,-5130831,-8943230,-6055786,-3887442,-2836550,-1782575,-3096639,-6974320,-8946827,-11313576,-12235453,-8352892,-8354432,-7631733,-6778477,-6317411,-8026748,-11250871,-8691368,-14672369,-14344429,-7630455,-8486792,-9408147,-8159617,-7699580,-7764860,-8159363,-11250354,-15658491,-12895691,-7302517,-6974834,-7765636,-10203836,-11191501,-9943232,-11583690,-14606828,-15592954,-11917275,-7170933,-7040628,-8885407,-7969963,-9022900,-6263697,-9416631,-14541035,-15198965,-10473166,-7433594,-7303290,-7041657,-7241094,-8097688,-6780793,-6448486,-6447451,-11588307,-10866641,-7761791,-7762560,-7434620,-7040116,-6316647,-5329492,-4341050,-1116938,-8821135,-11523804,-7891834,-7234929,-6774890,-6183007,-7696502,-5721937,-2958628,-1379596,-7232333,-10456454,-7496045,-6970213,-8023413,-12958148,-14078693,-10329254,-4537662,-9996168,-11444134,-12496568,?
148,'2019/09/19 11:01:48:969',2,-8547697,-8548211,-8223360,-8357268,-9210258,-9473431,-8356237,-6514288,-5395033,-5065037,-8877694,-6055786,-3952978,-2902087,-1716783,-3096638,-7237235,-9144206,-11510698,-12432576,-8418428,-8354433,-7697269,-6909806,-6448997,-8158333,-11250871,-8691368,-14672370,-14344429,-7630455,-8486792,-9408146,-8159617,-7699580,-7765116,-8159363,-11185074,-15658491,-12895691,-7302262,-6974578,-7765636,-10203580,-11125965,-9943231,-11583434,-14606828,-15592954,-11917275,-7170934,-7040628,-8885407,-8035499,-9088693,-6263697,-9416631,-14541035,-15198965,-10473165,-7433595,-7303290,-7041657,-7241093,-8097688,-6715257,-6514022,-6447451,-11588307,-10801105,-7761791,-7762560,-7500155,-7040116,-6251112,-5329492,-4341050,-1117194,-8821136,-11523547,-7891835,-7234929,-6774890,-6183007,-7696503,-5787730,-2958627,-1379596,-7232589,-10391174,-7496045,-6970213,-8023157,-12958148,-14078693,-10395048,-4603455,-9996169,-11444134,-12496568,?
149,'2019/09/19 11:01:49:002',2,-8547441,-8482674,-7960446,-7963024,-8947086,-9276309,-8093322,-6316909,-5197653,-4999243,-8943230,-6187114,-4084307,-3033417,-1651246,-3162430,-7565943,-9407121,-11708076,-12564419,-8418172,-8354433,-7762806,-7040879,-6711655,-8289663,-11250871,-8691368,-14672369,-14278893,-7630455,-8486791,-9408147,-8159618,-7699580,-7699580,-8159618,-11250609,-15658491,-12830155,-7302262,-6974578,-7765636,-10203579,-11125965,-9942975,-11517897,-14606828,-15592953,-11851739,-7170933,-7040629,-8885664,-8035499,-9088437,-6329233,-9416630,-14541035,-15198965,-10473165,-7433595,-7303290,-7041657,-7241093,-8097688,-6715257,-6514022,-6447707,-11588307,-10801105,-7761791,-7762560,-7499900,-7040116,-6251111,-5329492,-4341050,-1117194,-8821135,-11523547,-7891835,-7300465,-6774890,-6183008,-7762295,-5787986,-2958628,-1379596,-7232589,-10456711,-7496045,-6970213,-8023413,-13023685,-14013157,-10460840,-4669248,-9996425,-11509669,-12496568,?
150,'2019/09/19 11:01:49:036',2,-8547696,-8416882,-7631994,-7568522,-8618377,-9078931,-7830406,-5988201,-5065810,-4933193,-8877694,-6187115,-4281428,-3033930,-1651246,-3293503,-7960701,-9670294,-11905456,-12761542,-8352892,-8419968,-7894134,-7237743,-6974570,-8421249,-11316663,-8691368,-14606833,-14278892,-7630455,-8486792,-9408147,-8159618,-7699580,-7699580,-8159362,-11184818,-15658491,-12895690,-7302262,-6974578,-7765636,-10138043,-11125708,-9942975,-11583433,-14606828,-15592954,-11851483,-7170933,-7040628,-8885664,-8035499,-9088693,-6329233,-9416631,-14541035,-15133429,-10473165,-7433594,-7303290,-7041657,-7241094,-8097688,-6780793,-6514022,-6513244,-11588307,-10801104,-7761791,-7762560,-7500155,-7040116,-6251111,-5329492,-4341050,-1116938,-8886672,-11523548,-7891835,-7234929,-6840426,-6183007,-7827832,-5853523,-2958627,-1379596,-7298125,-10456711,-7496046,-6970213,-8023413,-13023685,-14078693,-10460841,-4669248,-9930634,-11509670,-12496568,?
151,'2019/09/19 11:01:49:069',2,-8612977,-8285809,-7303542,-7108485,-8224132,-8881808,-7567491,-5790565,-4933967,-4867399,-8943230,-6252651,-4412758,-3165259,-1716782,-3425088,-8420739,-9998746,-12168371,-12958922,-8418428,-8485505,-7959670,-7434608,-7237485,-8487043,-11316408,-8691624,-14672369,-14278893,-7630455,-8486791,-9408147,-8159617,-7699580,-7699580,-8159363,-11184818,-15658491,-12895690,-7302518,-6974578,-7700099,-10137787,-11125709,-9877438,-11517897,-14606828,-15592954,-11851483,-7236469,-7040628,-8885664,-8035755,-9088693,-6329233,-9482167,-14541035,-15133428,-10473165,-7433594,-7303290,-7041657,-7241094,-8097688,-6715257,-6514021,-6513244,-11588307,-10801104,-7761791,-7762560,-7434364,-7040116,-6316648,-5329492,-4341050,-1116938,-8821136,-11458267,-7891835,-7234929,-6774890,-6183007,-7828089,-5787986,-2958628,-1379596,-7298125,-10456711,-7496045,-6970213,-8023157,-13023684,-14013157,-10395304,-4669248,-9996425,-11509670,-12496569,?
152,'2019/09/19 11:01:49:102',2,-8547441,-8154480,-6975090,-6714240,-7895424,-8618893,-7370112,-5593185,-4802636,-4801606,-8943230,-6318444,-4609623,-3231052,-1782318,-3687746,-8749704,-10261918,-12299958,-13090508,-8352892,-8551297,-8025206,-7631474,-7434351,-8618372,-11316408,-8691625,-14672370,-14278893,-7630455,-8486792,-9408147,-8159618,-7699580,-7699324,-8159363,-11184817,-15658491,-12830155,-7302518,-6974834,-7699843,-10137787,-11125708,-9877438,-11517897,-14606828,-15592954,-11917274,-7170933,-7040628,-8885663,-8035756,-9088693,-6329233,-9482167,-14541035,-15198965,-10473165,-7433594,-7303290,-7041657,-7241094,-8097688,-6715257,-6514022,-6513244,-11588307,-10801105,-7761791,-7762561,-7434619,-7040115,-6316648,-5329492,-4341050,-1117194,-8821135,-11458267,-7891835,-7300465,-6840425,-6183008,-7828089,-5787730,-2958628,-1379596,-7298125,-10456711,-7496045,-6970213,-8088693,-13023685,-14013157,-10395304,-4669248,-9996169,-11509670,-12496569,?
